configuration,bin,topic_id,top_10_words,coherent,thematic,concentration,dominant_author,n_unique_authors_top5,notes
full_k15,full_corpus,0,men world people man years life great women work country,Yes,Yes,0.4,"Donnelly, Ignatius",4,Social/political - clear thematic
full_k15,full_corpus,1,man eyes face back hand asked looked voice moment turned,Yes,No,0.6,"Davis, Owen",3,Narration/dialogue - linguistic mode
full_k15,full_corpus,2,back eyes moment light hand feet head suddenly stood man,Yes,No,0.2,"Hamilton, Edmond",5,Action narration - linguistic mode
full_k15,full_corpus,3,good man day time thing night room back house things,No,,0.8,"Wells, H. G. (Herbert George)",2,Generic words - no clear field
full_k15,full_corpus,4,time made mind fact found make present part case matter,No,,0.4,"Hastings, George Gordon",4,Generic function words - no clear field
full_k15,full_corpus,5,life love heart soul death day eyes father thought world,Yes,Yes,1.0,"Shelley, Mary Wollstonecraft",1,Emotion/psychology - clear thematic
full_k15,full_corpus,6,men war enemy guns ships battle fleet army time hundred,Yes,Yes,0.8,"Griffith, George Chetwynd",2,Military/warfare - clear thematic
full_k15,full_corpus,7,great long made found men trees water ground time back,No,,1.0,"Waterloo, Stanley",1,Generic + scattered - no clear field
full_k15,full_corpus,8,engineer replied water sea sailor day time companions made uncle,Yes,No,1.0,"Verne, Jules",1,Character roles - coherent but not thematic
full_k15,full_corpus,9,white light great people city gold stood blue eyes high,Yes,Yes,0.4,"Bradshaw, William Richard",4,Utopia/city - clear thematic
full_k15,full_corpus,10,book cloth story read author full written illustrated page published,Yes,No,1.0,"Senarens, Luis",1,Publishing paratext - coherent but not story content
full_k15,full_corpus,11,ship water boat sea deck cried time vessel cabin made,Yes,Yes,0.8,"Senarens, Luis",2,Nautical - clear thematic
full_k15,full_corpus,12,thou thy made great thee surely make thing time heart,Yes,No,1.0,"Hodgson, William Hope",1,Archaic diction - linguistic mode
full_k15,full_corpus,13,earth sun miles surface planet water light time world great,Yes,Yes,0.4,"Serviss, Garrett Putman",4,Planetary - clear thematic
full_k15,full_corpus,14,air machine car power metal room work light ship gas,Yes,Yes,0.4,"Smith, E. E. (Edward Elmer)",4,Technology - clear thematic
full_k60,full_corpus,0,men eyes priest man body white spirit things save woman,No,,1.0,"Giesy, J. U. (John Ulrich)",1,Scattered - no clear field
full_k60,full_corpus,1,man girl lah replied great warriors escape village men people,Yes,Yes,1.0,"Burroughs, Edgar Rice",1,Adventure/primitive - thematic
full_k60,full_corpus,2,city people men streets great houses street world women cities,Yes,Yes,0.6,Various,3,Urban/city - clear thematic
full_k60,full_corpus,3,back man face body head hand dead feet death eyes,Yes,No,0.4,"Burroughs, Edgar Rice",4,Body/action narration - linguistic mode
full_k60,full_corpus,4,war power country present people peace made man law death,Yes,Yes,0.6,"Griffith, George Chetwynd",2,War/politics - clear thematic
full_k60,full_corpus,5,back made time side end rope long make men hand,No,,0.8,"Hodgson, William Hope",2,Generic action - no clear field
full_k60,full_corpus,6,time asked thing make good back man thought things replied,No,,0.4,"Hodgson, William Hope",4,Generic dialogue - no clear field
full_k60,full_corpus,7,uncle lava volcano cried crater volcanic eruption raft sea soil,Yes,Yes,1.0,"Verne, Jules",1,Volcanic/geological - clear thematic
full_k60,full_corpus,8,dead earth day death sun world long life human heart,Yes,Yes,0.8,"Shelley, Mary Wollstonecraft",2,Death/apocalyptic - thematic
full_k60,full_corpus,9,cloth child extra nett boards woman boy nurse baby idiot,No,,0.8,Duchess,2,Paratext mixed with domestic - incoherent mix
full_k60,full_corpus,10,night day sleep morning time hours long found hour days,Yes,Yes,0.8,"Janvier, Thomas A. (Thomas Allibone)",2,Time/daily rhythm - thematic
full_k60,full_corpus,11,boat ship water sea deck vessel cabin shore crew board,Yes,Yes,0.4,"Verne, Jules",3,Nautical - clear thematic
full_k60,full_corpus,12,man eyes looked face turned asked smiled back hand head,Yes,No,0.4,"Gregory, Jackson",4,Narration/dialogue - linguistic mode
full_k60,full_corpus,13,engineer sailor colonists reporter companions replied answered corral shore convicts,Yes,No,1.0,"Verne, Jules",1,Character roles - coherent but not thematic
full_k60,full_corpus,14,ant earth man set replied rifle plane finally palace bees,No,,1.0,"Farley, Ralph Milne",1,Scattered - no clear field
full_k60,full_corpus,15,paper letter read night morning clock office news train papers,Yes,Yes,0.4,"Matthews, Brander",4,Modern/urban life - thematic
full_k60,full_corpus,16,great walls city stone building palace side stood white roof,Yes,Yes,0.2,"Cummings, Ray",5,Architecture/palace - clear thematic
full_k60,full_corpus,17,rock feet cave cliff water wall rocks tunnel cavern found,Yes,Yes,0.4,"Burroughs, Edgar Rice",3,Underground/caves - clear thematic
full_k60,full_corpus,18,light darkness sky black dark great red eyes night white,Yes,Yes,0.8,"Wells, H. G. (Herbert George)",2,Light/darkness - thematic
full_k60,full_corpus,19,padre instinctive source welson affection affectionate children goodness expression impression,No,,1.0,"Smile, R. Elton",1,Idiosyncratic - no general field
full_k60,full_corpus,20,hair eyes man white face black head blue long red,Yes,Yes,0.2,"Cummings, Ray",5,Physical description - thematic
full_k60,full_corpus,21,men enemy army battle soldiers line attack fight troops war,Yes,Yes,0.6,"Forbes, Archibald",3,Military/battle - clear thematic
full_k60,full_corpus,22,life heart death thought hope eyes poor felt mind die,Yes,Yes,1.0,"Shelley, Mary Wollstonecraft",1,Emotion/psychology - clear thematic
full_k60,full_corpus,23,horse horses king men man rode road ride sword back,Yes,Yes,0.8,"Stilson, Charles B. (Charles Billings)",2,Medieval/horses - clear thematic
full_k60,full_corpus,24,great made men forest wild wood tree day knew fire,Yes,Yes,1.0,"Waterloo, Stanley",1,Primitive/forest - clear thematic
full_k60,full_corpus,25,beautiful music beauty gold flowers sweet soul golden people art,Yes,Yes,0.8,"Bradshaw, William Richard",2,Aestheticism - clear thematic
full_k60,full_corpus,26,doctor made food make water iron fire meat good wood,Yes,Yes,1.0,"Verne, Jules",1,Survival/crafting - thematic
full_k60,full_corpus,27,life man human body world years soul matter brain time,Yes,Yes,1.0,"Flammarion, Camille",1,Philosophy/existence - clear thematic
full_k60,full_corpus,28,eyes moment voice head face looked hand back hands felt,Yes,No,0.4,"Benson, Robert Hugh",3,Narration - linguistic mode
full_k60,full_corpus,29,found whilst state doctor appeared appearance present part returned place,No,,0.6,"Shelley, Mary Wollstonecraft",2,Generic/archaic - no clear field
full_k60,full_corpus,30,room ship men ray deck lights back stood small light,Yes,Yes,0.6,Various,2,Spaceship interior - thematic
full_k60,full_corpus,31,men work system century time public general years government great,Yes,Yes,0.8,"Bellamy, Edward",2,Social/political - clear thematic
full_k60,full_corpus,32,good things thing put day bit sort wanted back boy,No,,0.8,"Wells, H. G. (Herbert George)",2,Generic colloquial - no clear field
full_k60,full_corpus,33,door room house table window floor open opened man back,Yes,No,0.6,"Wells, H. G. (Herbert George)",3,Domestic interior - register/setting
full_k60,full_corpus,34,book story read author work written magazine page reader poem,Yes,No,0.8,"Lovecraft, H. P. (Howard Phillips)",2,Magazine paratext - coherent but not story content
full_k60,full_corpus,35,men world people man great years race life human earth,Yes,Yes,0.4,"Hamilton, Cicely",4,Future history - thematic
full_k60,full_corpus,36,ice ship professor boys snow asked big cried water exclaimed,Yes,Yes,1.0,"Rockwood, Roy",1,Arctic adventure - thematic
full_k60,full_corpus,37,illustrated full copies fred instructions complete boy anderson send illustrations,Yes,No,1.0,"Senarens, Luis",1,Publishing paratext - coherent but not story content
full_k60,full_corpus,38,father years young man great day house mother good son,Yes,Yes,0.4,"Donnelly, Ignatius",4,Family/domestic - clear thematic
full_k60,full_corpus,39,sea fish replied water meters waters surface waves ocean whale,Yes,Yes,1.0,"Verne, Jules",1,Marine/ocean - clear thematic
full_k60,full_corpus,40,man people things presently round black thing machine suddenly flying,No,,1.0,"Wells, H. G. (Herbert George)",1,Generic/scattered - no clear field
